Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,26.6,25.1,24.0,20.6,26.8,21.1,22.3,23.0,21.2,26.1,22.7,27.7
1941,23.9,26.2,18.1,22.4,23.4,20.9,18.9,19.9,20.2,26.6,26.5,23.7
1942,21.8,26.0,22.6,23.9,20.8,26.7,25.5,26.6,21.5,28.0,18.6,19.4
1943,20.9,23.5,27.6,18.7,22.3,24.7,27.1,24.8,21.7,20.4,21.4,21.7
1944,20.0,23.2,23.2,24.2,18.4,26.0,22.3,26.4,18.7,18.4,18.7,26.0
1945,25.6,19.4,24.8,27.8,19.3,20.5,20.6,26.6,21.7,22.1,27.8,21.7
1946,21.9,25.8,21.1,19.9,25.7,24.2,22.3,25.5,22.6,19.3,26.2,18.9
1947,23.1,20.7,25.7,25.9,18.0,23.7,25.2,22.4,25.2,18.2,26.5,23.6
1948,22.9,23.0,25.7,27.1,22.2,26.3,18.1,24.1,24.6,21.6,27.4,26.5
1949,23.8,20.8,23.2,27.4,23.2,27.1,23.9,19.6,25.1,25.8,18.9,26.0
1950,26.7,19.3,27.8,27.6,18.5,18.1,24.1,24.7,18.1,23.7,21.9,19.8
1951,27.8,24.3,19.3,23.2,27.7,24.7,24.4,19.8,20.2,21.1,18.7,24.7
1952,22.1,18.5,18.2,27.8,20.3,18.5,20.4,24.9,24.6,24.5,20.1,20.2
1953,26.3,25.5,25.7,25.6,21.0,23.5,25.1,20.3,22.8,20.3,20.3,20.2
1954,25.6,21.2,26.1,19.6,21.0,20.9,18.9,19.2,18.1,18.1,22.7,26.7
1955,23.7,18.0,19.2,22.8,20.3,21.1,20.0,19.7,26.0,25.6,20.7,20.5
1956,27.6,23.1,20.7,25.2,18.0,21.5,26.8,18.0,25.7,24.2,19.0,20.6
1957,20.0,18.5,18.2,20.5,25.3,24.2,25.4,25.2,23.5,25.6,19.7,18.0
1958,19.1,20.8,20.9,24.4,27.7,21.3,18.1,25.3,18.7,18.4,19.5,26.7
1959,26.5,25.1,25.7,24.7,20.2,25.3,20.5,23.1,25.7,26.4,27.7,25.9
1960,22.4,18.6,23.2,19.6,24.6,22.0,20.1,19.6,23.8,24.2,25.6,24.3
1961,26.5,26.4,21.5,23.7,25.4,18.7,20.7,18.8,25.8,23.6,27.7,25.5
1962,26.9,18.0,21.7,25.7,26.5,25.8,20.5,18.2,25.5,24.2,22.4,19.5
1963,18.6,20.5,18.0,23.0,22.2,20.9,18.6,19.7,26.0,26.6,20.8,22.6
1964,26.8,25.4,21.0,18.1,21.0,22.3,22.6,26.9,23.2,23.9,26.0,21.5
1965,22.5,21.2,24.5,18.1,21.3,24.9,25.3,20.4,19.4,23.8,21.3,18.9
1966,23.1,19.0,27.7,21.6,25.1,21.3,24.1,21.5,24.7,27.9,21.0,22.9
1967,24.3,21.6,26.5,27.3,26.2,18.6,24.7,19.1,24.2,25.6,20.3,27.2
1968,27.3,20.7,18.2,20.3,19.8,21.7,18.8,20.2,25.4,22.4,19.3,18.4
1969,18.2,26.4,27.0,24.3,21.7,27.4,27.5,23.2,19.7,25.1,20.6,20.9
1970,22.8,21.1,25.8,20.2,27.0,24.4,26.4,24.1,19.9,21.9,21.6,20.1
1971,24.9,25.9,25.8,21.2,26.1,24.7,26.1,20.5,26.9,20.3,24.7,20.4
1972,25.2,26.9,22.6,26.5,27.8,24.3,26.2,18.6,25.5,24.0,18.6,27.1
1973,24.9,22.3,22.0,25.3,25.5,20.0,27.3,21.9,27.1,27.3,20.1,22.7
1974,19.3,27.1,21.0,19.0,21.9,22.2,23.4,20.3,25.6,27.3,26.1,22.7
1975,21.0,21.8,18.7,22.3,23.9,25.5,20.0,20.2,24.0,21.4,19.5,25.6
1976,21.6,27.6,20.3,18.3,24.6,19.0,24.2,27.6,24.5,23.3,21.4,19.5
1977,26.0,18.9,20.5,22.8,18.8,20.8,25.4,24.2,26.9,20.1,26.6,22.9
1978,20.8,24.9,22.8,24.6,23.4,20.8,25.4,23.6,23.8,28.0,19.5,22.3
1979,20.1,22.9,25.5,19.2,25.1,22.3,23.2,22.2,24.3,27.8,18.8,24.0
1980,27.6,21.9,22.7,20.9,19.7,27.8,18.7,22.3,19.6,24.5,22.8,28.0
1981,18.1,24.3,18.6,22.0,25.8,18.7,21.7,23.4,22.7,26.0,21.0,25.7
1982,28.0,25.0,27.6,27.2,23.8,23.2,27.2,25.0,25.2,25.2,23.6,22.0
1983,24.8,18.0,27.4,27.9,27.5,19.8,23.8,25.0,20.7,23.9,26.0,26.3
1984,26.3,19.7,25.9,18.4,18.4,27.7,23.4,19.7,20.0,18.5,19.4,19.7
1985,20.9,25.1,27.9,25.6,20.7,19.1,20.7,23.0,21.1,22.5,23.8,18.3
1986,18.1,24.7,23.4,21.7,24.0,22.0,21.7,22.1,20.4,24.7,23.1,20.0
1987,25.4,27.7,27.6,21.9,21.0,25.4,27.0,26.7,20.1,24.8,19.4,21.4
1988,26.3,25.6,18.8,25.5,25.1,25.0,24.7,24.3,22.2,21.7,24.2,23.1
1989,25.4,27.5,21.7,27.2,25.6,22.2,25.9,23.3,27.1,27.4,20.7,24.2
1990,19.4,25.0,20.3,27.5,19.0,21.5,22.5,19.2,23.1,19.7,22.9,27.1
1991,25.5,21.0,20.0,23.8,23.1,22.0,24.3,24.1,19.9,23.0,18.8,23.1
1992,25.7,19.1,19.4,21.6,23.1,20.6,20.5,19.2,18.8,24.9,22.6,23.0
1993,24.6,25.8,24.2,25.9,21.7,20.1,25.1,21.4,25.0,25.0,21.1,18.5
1994,25.7,24.4,25.8,20.5,27.3,22.8,22.3,19.4,21.8,24.5,26.2,18.3
1995,26.5,18.5,23.8,23.6,26.3,20.7,22.4,24.9,26.2,20.8,18.6,23.5
1996,24.1,21.6,19.5,21.6,25.0,20.9,24.5,20.1,24.6,19.6,22.2,22.4
1997,18.9,27.6,26.1,24.6,25.1,24.6,27.4,21.9,26.0,24.4,22.6,26.4
1998,22.9,23.0,24.4,20.4,22.6,27.7,18.6,27.0,20.7,24.0,25.3,19.6
1999,18.8,22.3,21.9,19.9,27.2,24.0,26.2,20.0,24.9,19.8,23.7,18.2
2000,22.1,22.6,24.7,27.2,24.9,18.8,20.9,23.1,20.6,25.1,24.7,22.5
2001,22.1,20.1,20.6,19.0,25.3,18.8,22.4,22.2,27.4,22.6,25.8,20.4
2002,18.7,21.7,21.5,23.1,26.6,27.5,18.2,18.2,24.4,24.7,26.6,18.5
