Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,46.3,45.4,37.6,321.4,112.4,60.8,170.2,244.6,82.0,54.7,140.1,9.8
1981,345.2,369.9,231.3,112.8,380.2,55.5,203.0,7.2,117.3,380.1,23.1,8.8
1982,249.3,350.9,14.4,71.0,356.1,256.3,97.0,348.8,358.5,178.4,387.6,129.4
1983,132.4,103.2,186.2,300.2,182.3,72.8,45.9,372.8,5.2,74.1,353.5,195.5
1984,25.4,264.0,217.1,322.7,248.1,138.3,244.2,226.1,34.2,216.8,371.1,308.2
1985,124.4,326.9,114.6,396.2,111.0,358.7,115.5,278.7,83.2,349.2,398.0,273.3
1986,130.1,222.1,236.3,165.0,75.2,189.6,232.5,369.0,10.6,292.9,69.6,178.4
1987,291.8,211.9,12.2,148.8,185.5,267.0,61.7,282.9,72.6,322.6,158.5,109.5
1988,255.0,96.7,14.9,310.6,141.3,68.9,192.5,61.0,233.2,263.5,303.3,398.8
1989,354.9,37.2,329.0,136.3,233.5,76.9,213.0,230.5,168.6,276.9,278.4,170.5
1990,188.9,358.9,144.1,372.3,31.1,16.3,20.7,242.7,357.1,339.7,61.6,180.6
1991,47.8,360.2,50.8,343.4,389.8,67.6,134.6,169.7,327.0,99.9,326.3,65.4
1992,285.3,253.2,208.9,171.6,394.5,111.4,53.8,294.6,136.7,195.8,89.8,317.9
1993,304.3,135.6,308.0,300.3,279.3,70.8,25.3,373.7,103.8,88.5,89.5,277.5
1994,224.5,139.7,86.3,301.8,214.4,35.5,396.0,370.2,151.9,395.1,214.8,88.3
1995,308.4,290.4,249.2,41.2,123.8,48.3,128.9,180.3,236.1,377.6,237.2,33.0
1996,197.5,358.8,34.1,361.0,325.5,184.3,323.9,45.3,107.2,15.8,232.0,272.2
1997,209.1,354.8,20.7,202.1,273.9,82.5,101.9,393.9,249.7,282.2,36.6,261.8
1998,171.0,312.0,212.5,330.6,65.0,145.7,272.6,335.6,163.8,370.1,351.0,109.3
1999,10.2,256.8,216.3,128.0,364.4,201.4,304.1,49.9,220.8,72.2,106.2,380.3
2000,43.2,33.7,255.0,358.2,329.0,276.2,238.3,368.3,174.5,227.2,51.8,60.4
2001,12.6,64.7,290.4,155.7,379.9,15.7,188.6,348.0,117.8,366.2,355.5,172.9
2002,254.6,359.4,390.3,4.3,290.3,319.8,164.7,207.5,379.4,13.6,382.3,377.4
